Mouse ID,Cohort,Incubation,Number of V1 sections counted,Total V1 area,Total area excluding sections with no cells,Total manual V1 count,"Total manual V1 count, scaled up by average growth factor for long incubation pups",Individualized growth factor for long incubation pups (Total V1 area / average total V1 area for short incubation pups),"Total manual V1 count, scaled up by individualized growth factor for long incubation pups",Total Belljar V1 count,Injection site count,Raw,AvgScaled,IndivScaled,Area,ExclArea,Injection,Raw_per_Inj,Raw_per_Area,Raw_per_ExclArea,Raw_Area_Inj,Raw_ExclArea_Inj,AdjDensity_1.17,ExclAdjDensity_1.17
JR0531,pup,long,17,85832353,85832353,407,478.7502783,1.40813507,573.1109736,166.0,621,407,478.7502783,573.1109736,85832353,85832353,621,0.6553945249597424,4.741801730636465e-06,4.741801730636465e-06,7.635751579124742e-09,7.635751579124742e-09,8.933829347575947e-09,8.933829347575947e-09
JR0532,pup,long,16,71563151,71563151,1335,1570.347964,1.174039615,1567.342886,603.0,1315,1335,1570.347964,1567.342886,71563151,71563151,1315,1.015209125475285,1.86548521319303e-05,1.86548521319303e-05,1.418619933987095e-08,1.418619933987095e-08,1.6597853227649012e-08,1.6597853227649012e-08
JR0533,pup,short,17,67037377,59682781,131,,,,123.0,256,131,,,67037377,59682781,256,0.51171875,1.9541337364676427e-06,2.1949379336060095e-06,7.63333490807673e-09,8.573976303148475e-09,7.63333490807673e-09,8.573976303148475e-09
JR0534,pup,short,15,58488552,54042097,300,,,,258.0,398,300,,,58488552,54042097,398,0.7537688442211056,5.129208874926499e-06,5.551227962156983e-06,1.2887459484739946e-08,1.3947808950143173e-08,1.2887459484739946e-08,1.3947808950143173e-08
JR0537,pup,short,17,60088637,60088637,1670,,,,1530.0,599,1670,,,60088637,60088637,599,2.7879799666110183,2.779227626680898e-05,2.779227626680898e-05,4.63977900948397e-08,4.63977900948397e-08,4.63977900948397e-08,4.63977900948397e-08
JR0560,pup,long,15,72556540,67617276,456,536.3885182,1.190336802,542.7935816,687.0,645,456,536.3885182,542.7935816,72556540,67617276,645,0.7069767441860465,6.28475393121006e-06,6.743838660403889e-06,9.743804544511722e-09,1.0455563814579673e-08,1.1400251317078714e-08,1.2233009663058217e-08
JR0561,pup,long,15,60559854,60559854,1435,1687.977025,0.993523436,1425.706131,1446.0,1392,1435,1687.977025,1425.706131,60559854,60559854,1392,1.0308908045977012,2.3695565712559347e-05,2.3695565712559347e-05,1.7022676517643207e-08,1.7022676517643207e-08,1.9916531525642553e-08,1.9916531525642553e-08
JR0564,pup,long,15,67989900,67989900,416,489.3368938,1.115418129,464.0139418,625.0,564,416,489.3368938,464.0139418,67989900,67989900,564,0.7375886524822695,6.118555844323936e-06,6.118555844323936e-06,1.0848503270077902e-08,1.0848503270077902e-08,1.2692748825991144e-08,1.2692748825991144e-08
JR0567,pup,short,15,70845942,70845942,696,,,,467.0,650,696,,,70845942,70845942,650,1.0707692307692307,9.824133610927214e-06,9.824133610927214e-06,1.511405170911879e-08,1.511405170911879e-08,1.511405170911879e-08,1.511405170911879e-08
JR0612,pup,short,14,56992726,56992726,3244,,,,3054.0,1873,3244,,,56992726,56992726,1873,1.7319807794981315,5.691954443449503e-05,5.691954443449503e-05,3.038950583795784e-08,3.038950583795784e-08,3.038950583795784e-08,3.038950583795784e-08
JR0741,pup,short,12,51576677,51576677,463,,,,335.0,1448,463,,,51576677,51576677,1448,0.3197513812154696,8.976925752700198e-06,8.976925752700198e-06,6.199534359599584e-09,6.199534359599584e-09,6.199534359599584e-09,6.199534359599584e-09
JR0744,pup,short,14,61652503,61652503,677,,,,494.0,1557,677,,,61652503,61652503,1557,0.43481053307642903,1.0980900483472666e-05,1.0980900483472666e-05,7.052601466584885e-09,7.052601466584885e-09,7.052601466584885e-09,7.052601466584885e-09
JR0659,adult,long,3,15060680,15060680,3905,,,,,1377,3905,,,15060680,15060680,1377,2.8358750907770514,0.00025928444133996607,0.00025928444133996607,1.8829661680462314e-07,1.8829661680462314e-07,1.8829661680462314e-07,1.8829661680462314e-07
JR0662,adult,long,3,17063122,17063122,3450,,,,,1415,3450,,,17063122,17063122,1415,2.4381625441696113,0.00020219043150485592,0.00020219043150485592,1.428907643143858e-07,1.428907643143858e-07,1.428907643143858e-07,1.428907643143858e-07
JR0663,adult,long,3,15985722,15985722,2418,,,,,1252,2418,,,15985722,15985722,1252,1.9313099041533546,0.00015125998062521042,0.00015125998062521042,1.2081468101055146e-07,1.2081468101055146e-07,1.2081468101055146e-07,1.2081468101055146e-07
JR0650,adult,short,3,14140702,14140702,1727,,,,,1393,1727,,,14140702,14140702,1393,1.239770279971285,0.00012212972170688556,0.00012212972170688556,8.767388492956609e-08,8.767388492956609e-08,8.767388492956609e-08,8.767388492956609e-08
JR0684,adult,short,3,15928490,15928490,4819,,,,,1413,4819,,,15928490,15928490,1413,3.410474168435952,0.0003025396632072469,0.0003025396632072469,2.1411158047222e-07,2.1411158047222e-07,2.1411158047222e-07,2.1411158047222e-07
JR0697,adult,short,3,16755240,16755240,3832,,,,,1301,3832,,,16755240,16755240,1301,2.945426594926979,0.0002287045724203294,0.0002287045724203294,1.7579137003868517e-07,1.7579137003868517e-07,1.7579137003868517e-07,1.7579137003868517e-07
JR0698,adult,short,3,16710976,16710976,3928,,,,,1446,3928,,,16710976,16710976,1446,2.7164591977869987,0.00023505509193478587,0.00023505509193478587,1.6255538861326823e-07,1.6255538861326823e-07,1.6255538861326823e-07,1.6255538861326823e-07
